name,age,country,policytype,policytier,sumsssured,smokerdrinker,numdiseases,diseases,annualpremium,priceofvehicle,ageofvehicle,typeofvehicle,propertyvalue,propertyage,propertytype,propertysize,destinationcountry,tripdurationdays,existingmedicalcondition,healthcoverage,baggagecoverage,tripcancellationcoverage,accidentcoverage,trippremium
James Smith,56,India,Health,Standard,3356990,Yes,2,"Heart Condition, Thyroid",52033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Tommy Gillespie,58,India,Health,Standard,2705864,Yes,4,"Thyroid, Asthma, Heart Condition, Diabetes",41940,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Tammy Robinson,48,India,Health,Standard,2894583,No,1,Asthma,40524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Courtney Brown,20,India,Health,Standard,3040737,No,2,"Hypertension, Diabetes",41049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Juan Wilson,34,India,Health,Standard,3245501,Yes,2,"Heart Condition, Diabetes",45437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Andrew Harrison,45,India,Health,Standard,3037371,Yes,4,"Diabetes, Thyroid, Asthma, Heart Condition",45560,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mark Gonzalez,46,India,Health,Standard,2666713,No,3,"Asthma, Hypertension, Heart Condition",38667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Erin Ortiz,28,India,Health,Standard,2976508,No,2,"Hypertension, Heart Condition",40182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Vincent Jones,45,India,Health,Standard,2794834,No,1,Thyroid,39127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Allison Mckay,55,India,Health,Standard,3415274,No,4,"Thyroid, Asthma, Heart Condition, Hypertension",51229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mikayla White,20,India,Health,Standard,3446005,Yes,4,"Diabetes, Heart Condition, Asthma, Thyroid",48244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Vanessa Salazar,37,India,Health,Standard,2937512,Yes,2,"Diabetes, Heart Condition",41125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Samuel Green,39,India,Health,Standard,2563310,Yes,0,None,26914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Richard Kelley,37,India,Health,Standard,3427459,Yes,1,Heart Condition,46270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Charles White,60,India,Health,Standard,3105950,Yes,2,"Thyroid, Heart Condition",48142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Courtney Palmer,22,India,Health,Standard,2502340,No,2,"Heart Condition, Thyroid",33781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gail Reed,34,India,Health,Standard,2790496,No,0,None,27904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Todd Kelley,38,India,Health,Standard,3323267,Yes,1,Diabetes,44864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Carmen Harris,49,India,Health,Standard,2743855,Yes,1,Asthma,39785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jennifer Kelly,34,India,Health,Standard,3180853,Yes,1,Diabetes,42941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jessica Warren,26,India,Health,Standard,2861432,No,1,Diabetes,37198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
James Williamson,45,India,Health,Standard,3410691,Yes,3,"Thyroid, Asthma, Hypertension",51160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kellie Steele,27,India,Health,Standard,3255574,Yes,4,"Diabetes, Thyroid, Hypertension, Asthma",45578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Christopher Cox,22,India,Health,Standard,2759266,Yes,4,"Asthma, Heart Condition, Thyroid, Diabetes",38629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Douglas Mcintosh,52,India,Health,Standard,2849954,Yes,0,None,34199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Roger Jackson,43,India,Health,Standard,2708930,Yes,3,"Diabetes, Heart Condition, Thyroid",40633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Edward Vargas,55,India,Health,Standard,3127358,No,0,None,35964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Meghan Hopkins,49,India,Health,Standard,2595102,No,0,None,28546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Corey Burke,30,India,Health,Standard,3331062,No,4,"Hypertension, Diabetes, Asthma, Heart Condition",44969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brad Johnson,22,India,Health,Standard,3397540,No,1,Thyroid,44168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Donna Lopez,57,India,Health,Standard,3053306,No,0,None,35113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Carmen Davidson,36,India,Health,Standard,3021972,No,3,"Asthma, Thyroid, Diabetes",40796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Meghan Spence,30,India,Health,Standard,2690365,No,3,"Heart Condition, Diabetes, Asthma",36319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Devin York,42,India,Health,Standard,2930284,No,1,Hypertension,41023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Melissa Deleon,44,India,Health,Standard,3249994,No,2,"Diabetes, Asthma",47124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Steven Torres,45,India,Health,Standard,3329335,Yes,3,"Thyroid, Heart Condition, Asthma",49940,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mr. Jonathan Curry,48,India,Health,Standard,2959569,No,3,"Thyroid, Heart Condition, Hypertension",42913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Amber Miller,25,India,Health,Standard,2837754,No,3,"Diabetes, Thyroid, Asthma",38309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Christine Olsen,34,India,Health,Standard,2878165,No,1,Hypertension,37416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Christine Hanna,30,India,Health,Standard,2963474,Yes,2,"Hypertension, Heart Condition",41488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jill Turner,18,India,Health,Standard,2705169,No,4,"Asthma, Thyroid, Heart Condition, Hypertension",36519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mary Perkins,42,India,Health,Standard,2550090,Yes,0,None,29326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Heather Pace,58,India,Health,Standard,3156082,Yes,1,Hypertension,47341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Megan Greer,22,India,Health,Standard,3323279,Yes,3,"Heart Condition, Asthma, Diabetes",46525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jennifer Moody,43,India,Health,Standard,2886169,No,1,Asthma,40406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Karen Jackson,31,India,Health,Standard,2547173,No,2,"Diabetes, Hypertension",34386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sarah Hodge,42,India,Health,Gold,4086008,No,2,"Heart Condition, Thyroid",59247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cynthia Keller,57,India,Health,Gold,4726477,No,1,Hypertension,68533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kelsey Hendricks,24,India,Health,Gold,4278768,No,4,"Diabetes, Hypertension, Thyroid, Asthma",57763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Laura Francis DVM,45,India,Health,Gold,3813931,Yes,4,"Hypertension, Thyroid, Heart Condition, Asthma",57208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gregory Mccann,59,India,Health,Gold,3733631,No,1,Diabetes,54137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Matthew Delgado,23,India,Health,Gold,4264067,Yes,0,None,44772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Edwin Greene,49,India,Health,Gold,3979027,No,1,Heart Condition,55706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ronald Chan,50,India,Health,Gold,4963826,Yes,4,"Diabetes, Asthma, Heart Condition, Thyroid",74457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jeffrey Green,34,India,Health,Gold,3873902,Yes,4,"Hypertension, Asthma, Diabetes, Thyroid",54234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sue Mendez,21,India,Health,Gold,4686442,No,4,"Diabetes, Hypertension, Heart Condition, Thyroid",63266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Andrew Love,56,India,Health,Gold,4462612,No,0,None,51320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dr. Michael Phillips,60,India,Health,Gold,4553277,No,0,None,52362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ralph Griffin Jr.,19,India,Health,Gold,3915920,No,0,None,39159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Aaron Price,53,India,Health,Gold,4283478,Yes,3,"Diabetes, Asthma, Thyroid",66393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lauren Jordan,57,India,Health,Gold,3973591,Yes,0,None,47683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Robert Stewart,59,India,Health,Gold,4008328,No,4,"Thyroid, Hypertension, Asthma, Heart Condition",60124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Paige Allison,41,India,Health,Gold,4535455,No,0,None,49890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rose Long,60,India,Health,Gold,4466411,Yes,4,"Thyroid, Hypertension, Heart Condition, Diabetes",69229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
James Sanchez,46,India,Health,Gold,4436395,Yes,1,Asthma,64327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Matthew Banks,41,India,Health,Gold,4771340,No,1,Heart Condition,66798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jasmin Newton,29,India,Health,Gold,4923578,No,0,None,49235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Michael Gay,20,India,Health,Gold,3918642,Yes,1,Heart Condition,52901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jared Byrd,59,India,Health,Gold,4549625,Yes,2,"Heart Condition, Thyroid",70519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Angela Ramirez,60,India,Health,Gold,4620707,No,1,Hypertension,67000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brenda Butler,31,India,Health,Gold,4677658,Yes,3,"Asthma, Hypertension, Diabetes",65487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bryan Mahoney,37,India,Health,Gold,4429097,Yes,2,"Asthma, Thyroid",62007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brittney Downs,40,India,Health,Gold,3804156,No,0,None,41845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Raymond King,28,India,Health,Gold,4717140,No,4,"Heart Condition, Asthma, Diabetes, Hypertension",63681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Joshua Brown,34,India,Health,Gold,4634754,Yes,4,"Diabetes, Asthma, Thyroid, Heart Condition",64886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Michael Garcia,51,India,Health,Gold,4705541,Yes,2,"Hypertension, Asthma",72935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Donald Mills,31,India,Health,Gold,3627890,Yes,2,"Asthma, Thyroid",50790,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dawn Santiago,60,India,Health,Gold,4198173,No,0,None,48278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Thomas Mata,47,India,Health,Gold,4470997,No,4,"Thyroid, Asthma, Heart Condition, Hypertension",64829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Elizabeth Davis,49,India,Health,Gold,4838508,No,1,Hypertension,67739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mary Waters,22,India,Health,Gold,3502072,Yes,4,"Thyroid, Heart Condition, Hypertension, Asthma",49029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brandy Johnson,46,India,Health,Gold,4882106,Yes,1,Thyroid,70790,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kelly Adkins,18,India,Health,Gold,4637121,Yes,4,"Thyroid, Asthma, Heart Condition, Diabetes",64919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Erika Stafford,42,India,Health,Gold,3997247,Yes,4,"Hypertension, Diabetes, Asthma, Thyroid",59958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Randall Vaughn,20,India,Health,Gold,4338271,Yes,4,"Thyroid, Asthma, Heart Condition, Diabetes",60735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jason Morales,59,India,Health,Gold,4077924,Yes,1,Heart Condition,61168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Madeline Benson,31,India,Health,Gold,3706567,No,0,None,37065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kenneth Morgan,57,India,Health,Gold,3823130,No,1,Hypertension,55435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Eddie Golden,28,India,Health,Gold,4577152,No,4,"Asthma, Thyroid, Hypertension, Heart Condition",61791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Joseph Castaneda,48,India,Health,Gold,4754632,Yes,2,"Diabetes, Thyroid",71319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Robert Weiss,33,India,Health,Gold,4881593,Yes,4,"Asthma, Thyroid, Heart Condition, Diabetes",68342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gwendolyn Gay,37,India,Health,Gold,4480406,Yes,4,"Asthma, Hypertension, Heart Condition, Thyroid",62725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Tiffany Larson,53,India,Health,Gold,3625693,Yes,3,"Diabetes, Heart Condition, Hypertension",56198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Daniel Harris,36,India,Health,Gold,4297282,No,0,None,42972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Patricia Kaiser,58,India,Health,Gold,3701432,Yes,0,None,44417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Scott Acosta,59,India,Health,Gold,4951405,Yes,3,"Hypertension, Thyroid, Heart Condition",76746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Anne Martinez,44,India,Health,Gold,4392395,Yes,2,"Heart Condition, Asthma",65885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Donna Rodriguez,41,India,Health,Gold,4435745,No,0,None,48793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sandy Bowers,46,India,Health,Gold,3862159,Yes,0,None,44414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Randall Larson,19,India,Health,Gold,4869154,Yes,1,Heart Condition,65733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Darlene Garrett,20,India,Health,Gold,4244034,No,2,"Asthma, Diabetes",57294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Joseph Mullins,44,India,Health,Gold,3815339,No,1,Hypertension,53414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Todd Lynch,34,India,Health,Gold,4095449,No,1,Heart Condition,53240,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kevin Small,36,India,Health,Gold,4161998,No,4,"Asthma, Diabetes, Thyroid, Hypertension",56186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Stephanie Pruitt,43,India,Health,Gold,3500307,Yes,3,"Heart Condition, Diabetes, Thyroid",52504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Andrew Herring,37,India,Health,Gold,4501397,Yes,0,None,47264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Alec Harris,60,India,Health,Gold,4845041,Yes,1,Hypertension,72675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Stephanie Hoover,43,India,Health,Gold,4269450,No,0,None,46963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Courtney Huffman,39,India,Health,Gold,4324314,Yes,4,"Hypertension, Diabetes, Thyroid, Asthma",60540,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jeffrey Johnson,36,India,Health,Gold,3542046,Yes,1,Thyroid,47817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Stephanie HerNaNdez,29,India,Health,Gold,4811685,Yes,3,"Hypertension, Asthma, Thyroid",67363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Terri Lewis,49,India,Health,Gold,3998886,Yes,0,None,45987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pamela Martinez,33,India,Health,Gold,4746933,Yes,4,"Heart Condition, Diabetes, Hypertension, Asthma",66457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Elizabeth Rich,59,India,Health,Gold,4579024,Yes,2,"Hypertension, Thyroid",70974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jodi King,57,India,Health,Gold,3575412,Yes,1,Thyroid,53631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Connie Gray,56,India,Health,Gold,4907585,No,0,None,56437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Russell Rodriguez,19,India,Health,Gold,3588854,Yes,4,"Asthma, Heart Condition, Diabetes, Thyroid",50243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dustin Silva,60,India,Health,Gold,3972391,No,1,Heart Condition,57599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Taylor Serrano,36,India,Health,Gold,4917268,No,3,"Asthma, Diabetes, Hypertension",66383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jessica Miller,54,India,Health,Gold,4834522,No,0,None,55597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Caitlin Trevino,21,India,Health,Gold,4543186,No,3,"Heart Condition, Diabetes, Thyroid",61333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Tiffany Perez,31,India,Health,Gold,4692000,No,3,"Asthma, Heart Condition, Thyroid",63342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Catherine Ball,39,India,Health,Gold,3760719,Yes,0,None,39487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Courtney Mccann,22,India,Health,Gold,4977938,No,2,"Hypertension, Diabetes",67202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Joseph Fitzpatrick,37,India,Health,Gold,4553321,No,2,"Heart Condition, Thyroid",61469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ms. Sandra Parker MD,40,India,Health,Gold,3762101,Yes,1,Asthma,54550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ryan Brooks,36,India,Health,Gold,3764571,Yes,2,"Hypertension, Thyroid",52703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Melissa Long,20,India,Health,Gold,4289793,No,1,Hypertension,55767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Beverly Mathews,30,India,Health,Gold,4619630,Yes,4,"Thyroid, Hypertension, Heart Condition, Asthma",64674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Wayne Morrison,23,India,Health,Gold,3802798,No,0,None,38027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sarah Horne,59,India,Health,Gold,4067554,No,3,"Hypertension, Heart Condition, Diabetes",61013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
James Stewart,44,India,Health,Gold,4391455,No,3,"Asthma, Thyroid, Heart Condition",63676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
